acme_code;background_education;department_and_role;level_code;level_name;recruitment_code;recruitment_source_name;reason_dimissal_code;reason_dimissal_name
526;8|Graduate school;8|Human Resource|11|Analyst;7;Senior;9;Empregos Online;#N/A;#N/A
527;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
528;8|Graduate school;7|Finance|11|Analyst;6;Pleno;10;Jobs in Lisbon;#N/A;#N/A
529;7|Undergraduate degree;7|Finance|10|Trainee;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
530;8|Graduate school;9| Commercial|11|Analyst;7;Senior;15;Website;#N/A;#N/A
531;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;5;Indeed;#N/A;#N/A
532;8|Graduate school;7|Finance|11|Analyst;7;Senior;13;Google;#N/A;#N/A
533;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
534;7|Undergraduate degree;13|Audit|11|Analyst;7;Senior;8;Net Empregos;#N/A;#N/A
535;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
536;8|Graduate school;11|Communication & Marketing|11|Analyst;5;Junior;6;Learn4Good;#N/A;#N/A
537;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
538;8|Graduate school;11|Communication & Marketing|11|Analyst;5;Junior;5;Indeed;#N/A;#N/A
539;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
540;7|Undergraduate degree;10|Operations|11|Analyst;7;Senior;8;Net Empregos;#N/A;#N/A
541;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
542;7|Undergraduate degree;8|Human Resource|11|Analyst;6;Pleno;14;LinkedIn;#N/A;#N/A
543;7|Undergraduate degree;6|Administration|9|Intern;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
544;8|Graduate school;12|Controlling|11|Analyst;6;Pleno;7;SAPO Emprego;#N/A;#N/A
545;7|Undergraduate degree;10|Operations|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
546;7|Undergraduate degree;9| Commercial|11|Analyst;6;Pleno;10;Jobs in Lisbon;#N/A;#N/A
547;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;5;Indeed;#N/A;#N/A
548;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;5;Junior;8;Net Empregos;#N/A;#N/A
549;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
550;7|Undergraduate degree;6|Administration|11|Analyst;5;Junior;13;Google;#N/A;#N/A
551;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
552;7|Undergraduate degree;6|Administration|11|Analyst;6;Pleno;7;SAPO Emprego;#N/A;#N/A
553;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;13;Google;#N/A;#N/A
554;7|Undergraduate degree;6|Administration|11|Analyst;7;Senior;6;Learn4Good;9;performance
555;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
556;8|Graduate school;8|Human Resource|11|Analyst;6;Pleno;14;LinkedIn;#N/A;#N/A
557;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
558;8|Graduate school;12|Controlling|11|Analyst;7;Senior;12; recommendation of employee;#N/A;#N/A
559;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
560;8|Graduate school;11|Communication & Marketing|11|Analyst;7;Senior;11;Next Station;#N/A;#N/A
561;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
562;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;5;Junior;11;Next Station;#N/A;#N/A
563;7|Undergraduate degree;6|Administration|9|Intern;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
564;8|Graduate school;5| Presidency|11|Analyst;7;Senior;11;Next Station;#N/A;#N/A
565;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;5;Indeed;#N/A;#N/A
566;8|Graduate school;13|Audit|11|Analyst;5;Junior;14;LinkedIn;#N/A;#N/A
567;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
568;8|Graduate school;7|Finance|11|Analyst;6;Pleno;10;Jobs in Lisbon;#N/A;#N/A
569;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;11;Next Station;#N/A;#N/A
570;8|Graduate school;6|Administration|11|Analyst;7;Senior;8;Net Empregos;#N/A;#N/A
571;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
572;8|Graduate school;10|Operations|11|Analyst;6;Pleno;5;Indeed;#N/A;#N/A
573;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
574;8|Graduate school;12|Controlling|11|Analyst;7;Senior;10;Jobs in Lisbon;#N/A;#N/A
575;7|Undergraduate degree;8|Human Resource|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
576;8|Graduate school;6|Administration|11|Analyst;6;Pleno;9;Empregos Online;#N/A;#N/A
577;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
578;7|Undergraduate degree;8|Human Resource|11|Analyst;5;Junior;8;Net Empregos;#N/A;#N/A
579;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
580;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;5;Junior;12; recommendation of employee;#N/A;#N/A
581;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
582;8|Graduate school;5| Presidency|11|Analyst;7;Senior;6;Learn4Good;#N/A;#N/A
583;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
584;8|Graduate school;12|Controlling|11|Analyst;7;Senior;8;Net Empregos;#N/A;#N/A
585;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
586;8|Graduate school;11|Communication & Marketing|11|Analyst;5;Junior;5;Indeed;#N/A;#N/A
587;7|Undergraduate degree;7|Finance|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
588;7|Undergraduate degree;7|Finance|11|Analyst;7;Senior;12; recommendation of employee;#N/A;#N/A
589;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;5;Indeed;#N/A;#N/A
590;7|Undergraduate degree;9| Commercial|11|Analyst;5;Junior;5;Indeed;#N/A;#N/A
591;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
592;8|Graduate school;10|Operations|11|Analyst;6;Pleno;11;Next Station;#N/A;#N/A
593;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
594;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;6;Pleno;12; recommendation of employee;#N/A;#N/A
595;7|Undergraduate degree;10|Operations|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
596;7|Undergraduate degree;8|Human Resource|11|Analyst;6;Pleno;8;Net Empregos;#N/A;#N/A
597;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
598;8|Graduate school;12|Controlling|11|Analyst;7;Senior;9;Empregos Online;#N/A;#N/A
599;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
600;8|Graduate school;5| Presidency|11|Analyst;7;Senior;5;Indeed;#N/A;#N/A
601;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
602;7|Undergraduate degree;13|Audit|11|Analyst;7;Senior;14;LinkedIn;#N/A;#N/A
603;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;15;Website;#N/A;#N/A
604;8|Graduate school;6|Administration|11|Analyst;7;Senior;6;Learn4Good;#N/A;#N/A
605;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;13;Google;#N/A;#N/A
606;8|Graduate school;13|Audit|11|Analyst;6;Pleno;12; recommendation of employee;#N/A;#N/A
607;7|Undergraduate degree;10|Operations|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
608;8|Graduate school;8|Human Resource|11|Analyst;6;Pleno;8;Net Empregos;#N/A;#N/A
609;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
610;7|Undergraduate degree;6|Administration|11|Analyst;5;Junior;9;Empregos Online;#N/A;#N/A
611;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
612;8|Graduate school;13|Audit|11|Analyst;7;Senior;14;LinkedIn;#N/A;#N/A
613;7|Undergraduate degree;7|Finance|10|Trainee;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
614;8|Graduate school;12|Controlling|11|Analyst;7;Senior;9;Empregos Online;#N/A;#N/A
615;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
616;7|Undergraduate degree;10|Operations|11|Analyst;6;Pleno;6;Learn4Good;#N/A;#N/A
617;7|Undergraduate degree;6|Administration|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
618;8|Graduate school;8|Human Resource|11|Analyst;5;Junior;14;LinkedIn;#N/A;#N/A
619;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
620;8|Graduate school;12|Controlling|11|Analyst;6;Pleno;15;Website;#N/A;#N/A
621;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;13;Google;#N/A;#N/A
622;7|Undergraduate degree;5| Presidency|11|Analyst;6;Pleno;15;Website;#N/A;#N/A
623;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
624;8|Graduate school;9| Commercial|11|Analyst;5;Junior;10;Jobs in Lisbon;#N/A;#N/A
625;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
626;7|Undergraduate degree;6|Administration|11|Analyst;5;Junior;6;Learn4Good;#N/A;#N/A
627;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;11;Next Station;#N/A;#N/A
628;7|Undergraduate degree;8|Human Resource|11|Analyst;7;Senior;15;Website;#N/A;#N/A
629;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
630;8|Graduate school;10|Operations|11|Analyst;5;Junior;6;Learn4Good;#N/A;#N/A
631;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
632;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;7;Senior;9;Empregos Online;#N/A;#N/A
633;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
634;7|Undergraduate degree;13|Audit|11|Analyst;5;Junior;10;Jobs in Lisbon;#N/A;#N/A
635;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;5;Indeed;#N/A;#N/A
636;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;7;Senior;6;Learn4Good;#N/A;#N/A
637;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
638;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;5;Junior;8;Net Empregos;#N/A;#N/A
639;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;11;Next Station;#N/A;#N/A
640;7|Undergraduate degree;6|Administration|11|Analyst;6;Pleno;13;Google;#N/A;#N/A
641;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;15;Website;#N/A;#N/A
642;8|Graduate school;8|Human Resource|11|Analyst;6;Pleno;11;Next Station;#N/A;#N/A
643;7|Undergraduate degree;6|Administration|9|Intern;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
644;8|Graduate school;5| Presidency|11|Analyst;6;Pleno;8;Net Empregos;#N/A;#N/A
645;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
646;7|Undergraduate degree;13|Audit|11|Analyst;5;Junior;13;Google;#N/A;#N/A
647;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
648;8|Graduate school;5| Presidency|11|Analyst;5;Junior;12; recommendation of employee;#N/A;#N/A
649;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;15;Website;#N/A;#N/A
650;8|Graduate school;9| Commercial|11|Analyst;5;Junior;11;Next Station;#N/A;#N/A
651;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;11;Next Station;#N/A;#N/A
652;7|Undergraduate degree;9| Commercial|11|Analyst;6;Pleno;6;Learn4Good;#N/A;#N/A
653;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;5;Indeed;#N/A;#N/A
654;7|Undergraduate degree;7|Finance|11|Analyst;7;Senior;7;SAPO Emprego;#N/A;#N/A
655;7|Undergraduate degree;6|Administration|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
656;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;6;Pleno;15;Website;#N/A;#N/A
657;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
658;8|Graduate school;9| Commercial|11|Analyst;5;Junior;13;Google;#N/A;#N/A
659;7|Undergraduate degree;8|Human Resource|10|Trainee;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
660;8|Graduate school;13|Audit|11|Analyst;5;Junior;6;Learn4Good;#N/A;#N/A
661;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
662;7|Undergraduate degree;10|Operations|11|Analyst;6;Pleno;5;Indeed;#N/A;#N/A
663;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
664;8|Graduate school;8|Human Resource|11|Analyst;6;Pleno;5;Indeed;#N/A;#N/A
665;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;13;Google;8;Attendance
666;7|Undergraduate degree;8|Human Resource|11|Analyst;7;Senior;9;Empregos Online;#N/A;#N/A
667;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;5;Indeed;#N/A;#N/A
668;7|Undergraduate degree;7|Finance|11|Analyst;6;Pleno;9;Empregos Online;#N/A;#N/A
669;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
670;8|Graduate school;11|Communication & Marketing|11|Analyst;7;Senior;12; recommendation of employee;#N/A;#N/A
671;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
672;7|Undergraduate degree;10|Operations|11|Analyst;6;Pleno;5;Indeed;#N/A;#N/A
673;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
674;8|Graduate school;13|Audit|11|Analyst;7;Senior;8;Net Empregos;#N/A;#N/A
675;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
676;8|Graduate school;13|Audit|11|Analyst;5;Junior;11;Next Station;#N/A;#N/A
677;7|Undergraduate degree;8|Human Resource|10|Trainee;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
678;8|Graduate school;10|Operations|11|Analyst;7;Senior;6;Learn4Good;#N/A;#N/A
679;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
680;8|Graduate school;11|Communication & Marketing|11|Analyst;6;Pleno;15;Website;#N/A;#N/A
681;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
682;7|Undergraduate degree;5| Presidency|11|Analyst;5;Junior;14;LinkedIn;#N/A;#N/A
683;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
684;7|Undergraduate degree;13|Audit|11|Analyst;6;Pleno;5;Indeed;#N/A;#N/A
685;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
686;7|Undergraduate degree;9| Commercial|11|Analyst;5;Junior;9;Empregos Online;#N/A;#N/A
687;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
688;8|Graduate school;12|Controlling|11|Analyst;6;Pleno;15;Website;#N/A;#N/A
689;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;11;Next Station;#N/A;#N/A
690;8|Graduate school;5| Presidency|11|Analyst;7;Senior;14;LinkedIn;#N/A;#N/A
691;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
692;8|Graduate school;9| Commercial|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
693;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
694;8|Graduate school;5| Presidency|11|Analyst;5;Junior;14;LinkedIn;#N/A;#N/A
695;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;15;Website;#N/A;#N/A
696;8|Graduate school;13|Audit|11|Analyst;7;Senior;5;Indeed;#N/A;#N/A
697;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
698;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;7;Senior;8;Net Empregos;#N/A;#N/A
699;7|Undergraduate degree;6|Administration|9|Intern;#N/A;#N/A;5;Indeed;#N/A;#N/A
700;7|Undergraduate degree;8|Human Resource|11|Analyst;6;Pleno;9;Empregos Online;#N/A;#N/A
701;7|Undergraduate degree;10|Operations|9|Intern;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
702;8|Graduate school;8|Human Resource|11|Analyst;6;Pleno;15;Website;#N/A;#N/A
703;7|Undergraduate degree;6|Administration|9|Intern;#N/A;#N/A;5;Indeed;#N/A;#N/A
704;8|Graduate school;13|Audit|11|Analyst;6;Pleno;11;Next Station;#N/A;#N/A
705;7|Undergraduate degree;10|Operations|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
706;8|Graduate school;7|Finance|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
707;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
708;8|Graduate school;7|Finance|11|Analyst;7;Senior;6;Learn4Good;#N/A;#N/A
709;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
710;8|Graduate school;8|Human Resource|11|Analyst;6;Pleno;6;Learn4Good;#N/A;#N/A
711;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
712;7|Undergraduate degree;10|Operations|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
713;7|Undergraduate degree;7|Finance|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
714;8|Graduate school;11|Communication & Marketing|11|Analyst;7;Senior;5;Indeed;#N/A;#N/A
715;7|Undergraduate degree;10|Operations|9|Intern;#N/A;#N/A;13;Google;#N/A;#N/A
716;7|Undergraduate degree;13|Audit|11|Analyst;7;Senior;9;Empregos Online;#N/A;#N/A
717;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
718;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;5;Junior;8;Net Empregos;#N/A;#N/A
719;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
720;8|Graduate school;9| Commercial|11|Analyst;7;Senior;11;Next Station;#N/A;#N/A
721;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
722;8|Graduate school;6|Administration|11|Analyst;5;Junior;9;Empregos Online;#N/A;#N/A
723;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
724;8|Graduate school;11|Communication & Marketing|11|Analyst;7;Senior;10;Jobs in Lisbon;#N/A;#N/A
725;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
726;7|Undergraduate degree;5| Presidency|11|Analyst;5;Junior;15;Website;#N/A;#N/A
727;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;15;Website;#N/A;#N/A
728;8|Graduate school;9| Commercial|11|Analyst;5;Junior;15;Website;#N/A;#N/A
729;7|Undergraduate degree;7|Finance|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
730;8|Graduate school;12|Controlling|11|Analyst;7;Senior;15;Website;#N/A;#N/A
731;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
732;8|Graduate school;7|Finance|11|Analyst;5;Junior;5;Indeed;#N/A;#N/A
733;7|Undergraduate degree;10|Operations|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
734;7|Undergraduate degree;5| Presidency|11|Analyst;7;Senior;14;LinkedIn;#N/A;#N/A
735;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;5;Indeed;#N/A;#N/A
736;8|Graduate school;6|Administration|11|Analyst;6;Pleno;8;Net Empregos;#N/A;#N/A
737;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;5;Indeed;#N/A;#N/A
738;8|Graduate school;6|Administration|11|Analyst;6;Pleno;7;SAPO Emprego;#N/A;#N/A
739;7|Undergraduate degree;10|Operations|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
740;8|Graduate school;5| Presidency|11|Analyst;7;Senior;8;Net Empregos;#N/A;#N/A
741;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
742;7|Undergraduate degree;9| Commercial|11|Analyst;7;Senior;6;Learn4Good;#N/A;#N/A
743;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
744;7|Undergraduate degree;12|Controlling|11|Analyst;7;Senior;5;Indeed;#N/A;#N/A
745;7|Undergraduate degree;6|Administration|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
746;7|Undergraduate degree;5| Presidency|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
747;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
748;8|Graduate school;12|Controlling|11|Analyst;5;Junior;13;Google;#N/A;#N/A
749;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
750;7|Undergraduate degree;13|Audit|11|Analyst;5;Junior;12; recommendation of employee;#N/A;#N/A
751;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
752;8|Graduate school;7|Finance|11|Analyst;5;Junior;12; recommendation of employee;#N/A;#N/A
753;7|Undergraduate degree;6|Administration|9|Intern;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
754;8|Graduate school;13|Audit|11|Analyst;5;Junior;14;LinkedIn;#N/A;#N/A
755;7|Undergraduate degree;7|Finance|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
756;7|Undergraduate degree;10|Operations|11|Analyst;5;Junior;12; recommendation of employee;#N/A;#N/A
757;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
758;7|Undergraduate degree;13|Audit|11|Analyst;6;Pleno;8;Net Empregos;#N/A;#N/A
759;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
760;7|Undergraduate degree;8|Human Resource|11|Analyst;6;Pleno;6;Learn4Good;#N/A;#N/A
761;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
762;8|Graduate school;5| Presidency|11|Analyst;7;Senior;10;Jobs in Lisbon;#N/A;#N/A
763;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
764;7|Undergraduate degree;6|Administration|11|Analyst;7;Senior;6;Learn4Good;#N/A;#N/A
765;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
766;8|Graduate school;6|Administration|11|Analyst;6;Pleno;15;Website;#N/A;#N/A
767;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
768;8|Graduate school;10|Operations|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
769;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
770;7|Undergraduate degree;6|Administration|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
771;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
772;7|Undergraduate degree;6|Administration|11|Analyst;5;Junior;12; recommendation of employee;#N/A;#N/A
773;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
774;7|Undergraduate degree;9| Commercial|11|Analyst;6;Pleno;13;Google;#N/A;#N/A
775;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
776;7|Undergraduate degree;13|Audit|11|Analyst;7;Senior;9;Empregos Online;5;None
777;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
778;7|Undergraduate degree;8|Human Resource|11|Analyst;7;Senior;5;Indeed;#N/A;#N/A
779;7|Undergraduate degree;8|Human Resource|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
780;8|Graduate school;6|Administration|11|Analyst;6;Pleno;12; recommendation of employee;#N/A;#N/A
781;7|Undergraduate degree;10|Operations|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
782;7|Undergraduate degree;9| Commercial|11|Analyst;7;Senior;14;LinkedIn;#N/A;#N/A
783;7|Undergraduate degree;8|Human Resource|10|Trainee;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
784;7|Undergraduate degree;10|Operations|11|Analyst;5;Junior;14;LinkedIn;#N/A;#N/A
785;7|Undergraduate degree;7|Finance|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
786;7|Undergraduate degree;9| Commercial|11|Analyst;5;Junior;15;Website;#N/A;#N/A
787;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
788;8|Graduate school;6|Administration|11|Analyst;7;Senior;9;Empregos Online;#N/A;#N/A
789;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;11;Next Station;#N/A;#N/A
